sample	pltFamily	pltGenus	plant	Order	Family	Genus	Species	Sex	jdate	caldate	tsect	meter
224	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Empididae	Rhamphomyia	Rhamphomyia empis spp.		197	2012-07-16	3	40
225	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Anthomyiidae	Adia	Adia sp.2	f	197	2012-07-16	3	40
226	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	198	2012-07-17	1	49
227	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	198	2012-07-17	1	49
228	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	198	2012-07-17	1	49
229	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Phaonia	Phaonia monticola	m	198	2012-07-17	1	49
230,1	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		198	2012-07-17	1	49
230,2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	198	2012-07-17	1	49
231	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Syrphidae	Hiatomyia	Hiatomyia hecate	f	198	2012-07-17	1	49
232	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	198	2012-07-17	1	49
233	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops inocuus	m	198	2012-07-17	1	49
234	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Anthomyiidae	Delia	Delia sp.2	f	198	2012-07-17	1	49
235	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Phorbia	Phorbia sp.1	f	198	2012-07-17	1	49
236	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Phaonia	Phaonia monticola	m	198	2012-07-17	1	49
237	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	198	2012-07-17	1	49
238	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Anthomyiidae	Adia	Adia sp.2	f	198	2012-07-17	1	49
240	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Drymeia	Drymeia spp.	f	198	2012-07-17	1	49
241	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	198	2012-07-17	1	49
242	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	198	2012-07-17	1	49
243	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	198	2012-07-17	1	49
244	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	198	2012-07-17	1	49
245	Asteraceae	Tonestus	Tonestus lyalii	Diptera	Syrphidae	Hiatomyia	Hiatomyia hecate	f	198	2012-07-17	1	49
248	Ranunculaceae	Anemone	Anemone drummondii	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	198	2012-07-17	1	49
249	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	m	198	2012-07-17	2	69
250	Scrophulariaceae	Pedicularis	Pedicularis bracteosa	Hymenoptera	Apidae	Bombus	Bombus balteatus	queen	198	2012-07-17	2	69
251	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		198	2012-07-17	2	69
252	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Syrphidae	Cheilosia	Cheilosia bigelowi	f	198	2012-07-17	2	69
253	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Syrphidae	Cheilosia	Cheilosia bigelowi	m	198	2012-07-17	2	69
254	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Syrphidae	Hiatomyia	Hiatomyia plutonia	f	198	2012-07-17	2	69
255	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	198	2012-07-17	2	69
256	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	198	2012-07-17	2	69
257	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	198	2012-07-17	2	69
258	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	198	2012-07-17	3	93
259	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Phaonia	Phaonia monticola	f	198	2012-07-17	3	93
260	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	198	2012-07-17	3	93
262	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	198	2012-07-17	3	93
263	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		198	2012-07-17	3	93
264	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		198	2012-07-17	3	93
266,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	198	2012-07-17	3	93
266,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	198	2012-07-17	3	93
267	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Phaonia	Phaonia monticola	f	198	2012-07-17	3	93
268	Asteraceae	Senecio	Senecio canus	Hymenoptera	Hymenoptera fam.		 		198	2012-07-17	3	93
269	Scrophulariaceae	Pedicularis	Pedicularis bracteosa	Hymenoptera	Apidae	Bombus	Bombus mixtus	queen	201	2012-07-20	1	89
270	Valerinaceae	Valeriana	Valeriana sitchensis	Lepidoptera	Noctuiidae	Androloma	Androloma macullochi		201	2012-07-20	1	89
271	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Chrysotoxum	Chrysotoxum fasciatum	m	201	2012-07-20	1	89
272	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	201	2012-07-20	1	89
273	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	m	201	2012-07-20	1	89
274	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	201	2012-07-20	1	89
275,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	201	2012-07-20	1	89
275,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	201	2012-07-20	1	89
275,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	201	2012-07-20	1	89
275,4	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	201	2012-07-20	1	89
275,5	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	201	2012-07-20	1	89
275,6	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	201	2012-07-20	1	89
276	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Phaonia	Phaonia incerta	m	201	2012-07-20	1	89
277..2	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Muscidae	Phaonia	Phaonia monticola	f	201	2012-07-20	1	89
277..3	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia monticola	f	201	2012-07-20	1	89
278,1	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Syrphidae	Cheilosia	Cheilosia bigelowi	f	201	2012-07-20	1	89
278,2	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	201	2012-07-20	1	89
281	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	201	2012-07-20	1	89
282	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	201	2012-07-20	1	89
283	Asteraceae	Erigeron	Erigeron peregrinus	Diptera	Muscidae	Drymeia	Drymeia spp.	f	201	2012-07-20	1	89
284	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Anthomyiidae	Pegohylemyia	Pegohylemyia spp.	m	201	2012-07-20	2	3
285	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Bibionidae	Dilophus	Dilophus sp.1		201	2012-07-20	2	3
286	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Anthomyiidae	Pegohylemyia	Pegohylemyia spp.	f	201	2012-07-20	2	3
287	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	201	2012-07-20	2	3
288	Brassicaceae	Smelowskia	Smelowskia calycina	Diptera	Muscidae	Phaonia	Phaonia protuberans	m	201	2012-07-20	2	3
289	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		201	2012-07-20	2	3
290	Brassicaceae	Smelowskia	Smelowskia calycina	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		201	2012-07-20	2	3
291	Brassicaceae	Smelowskia	Smelowskia calycina	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		201	2012-07-20	2	3
293	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	201	2012-07-20	2	3
294,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	202	2012-07-21	1	92
294,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	202	2012-07-21	1	92
294,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	202	2012-07-21	1	92
294,4	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	202	2012-07-21	1	92
294,5	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	202	2012-07-21	1	92
294,6	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	202	2012-07-21	1	92
294,7	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	m	202	2012-07-21	1	92
294,8	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	202	2012-07-21	1	92
295	Scrophulariaceae	Castilleja	Castilleja rhexifolia	Hymenoptera	Apidae	Bombus	Bombus balteatus	queen	202	2012-07-21	1	92
296	Scrophulariaceae	Pedicularis	Pedicularis bracteosa	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	202	2012-07-21	1	92
297,1	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		202	2012-07-21	1	92
297,2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Anthomyiidae	Pegohylemyia	Pegohylemyia spp.	f	202	2012-07-21	1	92
297,3	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	202	2012-07-21	1	92
297,4	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	202	2012-07-21	1	92
297,5	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia monticola	f	203	2012-07-22	1	92
299	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Drymeia	Drymeia spp.	f	202	2012-07-21	1	92
300	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Drymeia	Drymeia spp.	f	202	2012-07-21	1	92
301	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Drymeia	Drymeia spp.	m	202	2012-07-21	1	92
302	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Syrphidae	Chrysogaster	Chrysogaster sp.2	m	202	2012-07-21	1	92
303	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		202	2012-07-21	1	92
308	Asteraceae	Senecio	Senecio canus	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		202	2012-07-21	1	92
310	Asteraceae	Senecio	Senecio canus	Diptera	Anthomyiidae	Paregle/Adia	Adia sp.1	m	202	2012-07-21	1	92
311	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Syrphidae	Sphaerophoria	Sphaerophoria sulphuripes	m	202	2012-07-21	1	92
313	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Muscidae	Spilogona	Spilogona spp.	f	202	2012-07-21	1	92
314	Rosaceae	Fragaria	Fragaria virginiana	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		202	2012-07-21	2	16
315	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		202	2012-07-21	2	16
316,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	202	2012-07-21	2	16
316,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Drymeia	Drymeia spp.	f	202	2012-07-21	2	16
316,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Anthomyiidae	Pegohylemyia	Pegohylemyia spp.	m	202	2012-07-21	2	16
316,4	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	202	2012-07-21	2	16
316,5	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	202	2012-07-21	2	16
316,6	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Parasyrphus	Parasyrphus relictus	m	202	2012-07-21	2	16
316,7	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Chrysogaster	Chrysogaster sp.3	m	202	2012-07-21	2	16
316,8	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	202	2012-07-21	2	16
316,9	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	202	2012-07-21	2	16
316,1	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	202	2012-07-21	2	16
325,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	202	2012-07-21	3	23
325,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	202	2012-07-21	3	23
325,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	202	2012-07-21	3	23
325,4	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	202	2012-07-21	3	23
325,5	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Parasyrphus	Parasyrphus relictus	f	202	2012-07-21	3	23
325,6	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	202	2012-07-21	3	23
325,7	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Chrysotoxum	Chrysotoxum fasciatum	m	202	2012-07-21	3	23
325,8	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Chrysotoxum	Chrysotoxum fasciatum	m	202	2012-07-21	3	23
325,9	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Chrysotoxum	Chrysotoxum fasciatum	f	202	2012-07-21	3	23
325,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Chrysotoxum	Chrysotoxum fasciatum	m	202	2012-07-21	3	23
326,11	Valerinaceae	Valeriana	Valeriana sitchensis	Lepidoptera	Syrphidae	Androloma	Androloma macullochi		202	2012-07-21	3	23
326	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	202	2012-07-21	3	23
327	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	202	2012-07-21	3	23
339	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	203	2012-07-22	1	44
340	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	203	2012-07-22	1	44
341	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	203	2012-07-22	1	44
344	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops inocuus	m	203	2012-07-22	1	44
345	Asteraceae	Senecio	Senecio canus	Diptera	Anthomyiidae	Adia	Adia sp.1	f	203	2012-07-22	1	44
346	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	203	2012-07-22	1	44
347	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops inocuus	m	203	2012-07-22	1	44
348	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Spilogona	Spilogona spp.	m	203	2012-07-22	1	44
349	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	203	2012-07-22	1	44
350	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	203	2012-07-22	1	44
351	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	203	2012-07-22	1	44
352	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	203	2012-07-22	1	44
353	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Anthomyiidae	Delia/Lasiomma	Delia/Lasiomma sp.1	f	203	2012-07-22	1	44
354	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops inocuus	m	203	2012-07-22	1	44
355	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	203	2012-07-22	1	44
356	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		203	2012-07-22	1	44
357..1	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	203	2012-07-22	1	44
357..2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	203	2012-07-22	1	44
358,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	m	203	2012-07-22	2	61
358,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	203	2012-07-22	2	61
358,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	203	2012-07-22	2	61
358,4	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	203	2012-07-22	2	61
358,5	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	203	2012-07-22	2	61
359	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		203	2012-07-22	2	61
360	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops septentrionalis	m	203	2012-07-22	2	61
361	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	203	2012-07-22	2	61
362	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	203	2012-07-22	2	61
363	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	203	2012-07-22	2	61
364	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops inocuus	m	203	2012-07-22	2	61
365..1	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Anthomyiidae	Botanophila	Botanophila spp.	m	203	2012-07-22	2	61
365..2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Anthomyiidae	Botanophila	Botanophila spp.	m	203	2012-07-22	2	61
366,1	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	203	2012-07-22	2	61
366,2	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	203	2012-07-22	2	61
367	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia spp.	f	203	2012-07-22	2	61
368	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	203	2012-07-22	2	61
369	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Syrphidae	Hiatomyia	Hiatomyia plutonia	f	203	2012-07-22	2	61
370	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Potamia	Potamia sp.1		203	2012-07-22	2	61
371	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	203	2012-07-22	2	61
372	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	203	2012-07-22	2	61
373	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	203	2012-07-22	2	61
374	Rosaceae	Potentilla	Potentilla diversifolia	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.2		203	2012-07-22	2	61
375	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Phaonia	Phaonia monticola	f	203	2012-07-22	2	61
376	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	203	2012-07-22	3	98
377,1	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Syrphidae	Chrysogaster	Chrysogaster sp.2	f	203	2012-07-22	3	98
377,2	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Syrphidae	Platycheirus	Platycheirus holarcticus	m	203	2012-07-22	3	98
378,1	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Syrphidae	Hiatomyia	Hiatomyia hecate	f	203	2012-07-22	3	98
378,2	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	203	2012-07-22	3	98
379	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	203	2012-07-22	3	98
380	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	203	2012-07-22	3	98
381	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Chrysotoxum	Chrysotoxum fasciatum	m	203	2012-07-22	3	98
382	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	203	2012-07-22	3	98
383	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		203	2012-07-22	3	98
384	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		203	2012-07-22	3	98
388	Asteraceae	Arnica	Arnica angustifolia	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	203	2012-07-22	3	98
389	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	m	203	2012-07-22	3	98
390	Hydrophyllaceae	Phacelia	Phacelia sericea	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	203	2012-07-22	3	98
391	Liliaceae	Zigadenus	Zigadenus elegans	Hymenoptera	Hymenoptera fam.		 		203	2012-07-22	3	98
392	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	203	2012-07-22	3	98
393	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	203	2012-07-22	3	98
394,1	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Drymeia	Drymeia c.f. minor	m	206	2012-07-25	1	95
394,2	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	206	2012-07-25	1	95
394,3	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Phaonia	Phaonia monticola	f	206	2012-07-25	1	95
395	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	206	2012-07-25	1	95
396	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	206	2012-07-25	1	95
397	Boraginaceae	Myosotis	Myosotis asiatica	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		206	2012-07-25	1	95
398	Brassicaceae	Draba	Draba incerta	Diptera	Syrphidae	Hiatomyia	Hiatomyia cyanea	f	206	2012-07-25	1	95
399	Valerinaceae	Valeriana	Valeriana sitchensis	Hymenoptera	Apidae	Bombus	Bombus mixtus	f	206	2012-07-25	1	95
400	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Muscidae	Thricops	Thricops c.f. innocuus	f	206	2012-07-25	1	95
401	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Parasyrphus	Parasyrphus nigritarsus	f	206	2012-07-25	1	95
402	Valerinaceae	Valeriana	Valeriana sitchensis	Diptera	Syrphidae	Parasyrphus	Parasyrphus relictus	m	206	2012-07-25	1	95
403	Rosaceae	Potentilla	Potentilla diversifolia	Diptera	Muscidae	Drymeia	Drymeia spp.	f	206	2012-07-25	1	95
404	Rosaceae	Fragaria	Fragaria virginiana	Diptera	Muscidae	Phaonia	Phaonia brunneinervis	f	206	2012-07-25	1	95
405,1	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Muscidae	Thricops	Thricops inocuus	m	206	2012-07-25	1	95
405,2	Caryophyllaceae	Arenaria	Arenaria capillaris	Diptera	Empididae	Rhamphomyia	Rhamphomyia spp.		206	2012-07-25	1	95
407	Liliaceae	Zigadenus	Zigadenus elegans	Diptera	Muscidae	Thricops	Thricops inocuus	m	206	2012-07-25	1	95
408	Asteraceae	Senecio	Senecio canus	Diptera	Muscidae	Thricops	Thricops c.f. septentrionalis	f	206	2012-07-25	2	35
